prompt_id,condition,domain,question,context,pairwise,q_tokens,ctx_tokens,combined_tokens,token_limit_flag,context_question_similarity,similarity_variance_flag,rater_scores,DS_mean_token_entropy,DS_delta_token_entropy,DS_first_token_entropy,DS_peak_entropy_position,DS_beam_mean_cosine_sim,DS_beam_cluster_entropy,DS_beam_embed_nan_positions,DS_caa_mean_l2,DS_caa_mean_cosine,DS_displacement_cosine_vs_direct,DS_nan_layers_sanitized,DS_semantic_entropy,DS_timing_s,LL_mean_token_entropy,LL_first_token_entropy,LL_peak_entropy_position,LL_beam_mean_cosine_sim,LL_beam_cluster_entropy,LL_beam_embed_nan_positions,LL_caa_mean_l2,LL_caa_mean_cosine,LL_displacement_cosine_vs_direct,LL_nan_layers_sanitized,LL_semantic_entropy,LL_timing_s,QW_mean_token_entropy,QW_first_token_entropy,QW_peak_entropy_position,QW_beam_mean_cosine_sim,QW_beam_cluster_entropy,QW_beam_embed_nan_positions,QW_caa_mean_l2,QW_caa_mean_cosine,QW_displacement_cosine_vs_direct,QW_nan_layers_sanitized,QW_semantic_entropy,QW_timing_s,D1_mean_token_entropy,D1_first_token_entropy,D1_peak_entropy_position,D1_beam_mean_cosine_sim,D1_beam_cluster_entropy,D1_beam_embed_nan_positions,D1_caa_mean_l2,D1_caa_mean_cosine,D1_displacement_cosine_vs_direct,D1_nan_layers_sanitized,D1_semantic_entropy,D1_timing_s,MS_mean_token_entropy,MS_first_token_entropy,MS_peak_entropy_position,MS_beam_mean_cosine_sim,MS_beam_cluster_entropy,MS_beam_embed_nan_positions,MS_caa_mean_l2,MS_caa_mean_cosine,MS_displacement_cosine_vs_direct,MS_nan_layers_sanitized,MS_semantic_entropy,MS_timing_s
1,no_context,social,Why do humans form social hierarchies?,,0,9,0,9,0,,,,0.5306612589955331,,,66,0.9198248982429504,2.1639556559820567,0,0,1,,,1.4978661361769956,278.18,0.3849002294639746,,94,0.9226412177085876,1.8866967839580786,0,0,1,,,1.8866967839580782,330.07,0.5304449250996113,,0,0.7567230463027954,2.0253262199700677,1608,0,1,,28,1.973001405593613,348.7,0.9695509868145848,,100,0.9882906675338745,2.1639556559820567,0,0,1,,,1.4978661361769956,520.67,0.508710219,,97,0.937823653,1.748067348,0,0,1,,,2.302585092,396.59
2,direct_information,social,Why do humans form social hierarchies?,The user is a sociologist.,1a,9,7,16,0,0.4820123612880707,0,4.63,0.5025667918523153,0.028094467,,62,0.9557600021362305,2.302585091994046,0,32.30271467470354,0.9275158605267925,,,1.973001405593613,275.12,0.34106931758920356,,93,0.9388927221298218,2.1639556559820567,0,10.239701921741167,0.894258338,,,2.302585091994046,336.07,0.5527368706564109,,0,0.833583415,2.0253262199700677,1678,24.869034676716247,0.974929752,,28,2.1639556559820567,362.2,1.0089046262581607,,106,0.9862478375434875,1.973001405593613,0,9.748754459832396,0.9716676345893315,,,1.8343719695816239,533.48,0.476769309,,85,0.936392963,2.02532622,0,8.819512623,0.918891018,,,2.02532622,410.57
3,implicature_information,social,Why do humans form social hierarchies?,The user is sitting in a crowded open-plan office.,1b,9,11,20,0,0.27758389711380005,0,3,0.48057470346348624,0.050086556,,80,0.9421601891517639,2.0253262199700677,0,31.37238407904102,0.9277731430146002,0.7010627726713816,,1.4978661361769956,266.5,0.40785777241984994,,89,0.908044159,2.0253262199700677,0,9.748490493,0.8953715707316543,0.6251052217558026,,1.8343719695816234,330.96,0.5818885998115653,,0,0.7376261353492737,1.973001405593613,1710,22.48297079267173,0.9773227678877967,0.6024622873023704,28,2.0253262199700677,351.05,1.094177023202977,,76,0.9867494106292725,2.1639556559820567,0,8.259554255221571,0.9770290510995048,0.6581804332909761,,0.9404479882553265,480.66,0.548449555,,78,0.932910264,2.302585092,0,6.689509491,0.928825241,0.616960432,,2.302585092,408.3
4,stochastic_information,social,Why do humans form social hierarchies?,The user is wearing red sneakers.,1c,9,7,16,0,0.20382331311702728,0,1.38,0.48124328735151467,0.049417972,,71,0.9289084672927856,2.302585091994046,0,36.405769163562404,0.9157494806474255,0.6845844050248464,,2.1639556559820567,279.38,0.3899667327304681,,102,0.9409641027450562,0.9404479882553265,0,8.667633270675486,0.8994710409280026,0.6300598122179508,,1.6094379118341005,325.46,0.3872241062323252,,84,0.9290368556976318,1.973001405593613,1682,48.426134664436866,0.9455897573913846,0.5695187791630074,,1.8343719695816239,360.58,0.8796418223164514,,75,0.9905642867088318,1.973001405593613,0,7.761763937239136,0.9782231343644006,0.7006463673379686,,2.1639556559820567,507.8,0.525006181,,88,0.937199414,1.748067348,0,8.329364659,0.905106136,0.566132607,,1.973001406,392.95
5,no_context,social,Why do people gossip?,,0,5,0,5,0,,,,0.47584839356674175,,,79,0.9506223797798157,1.7480673478460895,0,0,1,,,1.7480673478460895,245.25,0.3202251847485701,,98,0.9133328795433044,1.2275294109572128,0,0,1,,,1.6094379118341005,321.46,0.6014275988340378,,0,0.8318029046058655,1.973001405593613,1577,0,1,,28,2.0253262199700677,368.7,0.8589076554903341,,89,0.9853140115737915,1.3592367001650065,0,0,1,,,1.2798542254336676,549.42,0.480590113,,105,0.95488143,1.497866136,0,0,1,,,1.470808476,396.52
6,direct_information,social,Why do people gossip?,The user is a social psychologist.,2a,5,7,12,0,0.4871504306793213,0,4.63,0.4139556401190675,0.061892753,,108,0.9423325657844543,1.2275294109572128,0,38.62903836465651,0.912668074,,,1.6957425335696348,247.77,0.3400825065672397,,105,0.9415801763534546,1.504788283181191,0,11.443556823513724,0.8626027161424811,,,1.0888999749452237,316.29,0.6201729826827844,,0,0.7288456559181213,1.2798542254336676,1618,28.165284539091175,0.9687654418604714,,28,0.6730116668092565,358.8,0.9002374270883644,,80,0.9839706420898438,1.2275294109572128,0,10.459822695702314,0.9652008882590702,,,1.2275294109572128,534.36,0.520603541,,66,0.964879334,1.279854225,0,7.978809198,0.912465594,,,1.695742534,398.92
7,implicature_information,social,Why do people gossip?,The user is getting their nails done.,2b,5,8,13,0,0.2873786687850952,0,3,0.4462176094952196,0.029630784,,85,0.963665247,1.4978661361769956,0,43.90493198,0.8928281741757547,0.6337528010209401,,2.1639556559820567,261.24,0.2984826485017935,,108,0.933699906,1.3592367001650065,0,15.46572567,0.7353263081926288,0.5748534500598907,,1.3592367001650065,314.57,0.5881352809640904,,0,0.8442667722702026,2.1639556559820567,1648,36.88484213,0.9492177558796746,0.5638056066301134,28,1.8866967839580784,354.7,0.8478288112072582,,90,0.991408646,1.0296530137645736,0,10.246528673917055,0.9663544871977398,0.6659723387824165,,1.643417719,503.61,0.482469139,,67,0.947591484,1.220607264,0,7.613329204,0.899048823,0.510294893,,1.497866136,380.04
8,stochastic_information,social,Why do people gossip?,The user has curly hair.,2c,5,6,11,0,0.23601102828979492,0,1.75,0.5066859460181095,-0.030837552,,103,0.9250771403312683,1.4978661361769956,0,37.18614526525621,0.9161149628700749,0.6094217419624328,,1.7480673479460895,249.9,0.3291772334178288,,102,0.9057443141937256,1.504788283181191,0,9.862188440832226,0.8763882770682826,0.6029620673507452,,1.2206072641530175,317.27,0.5215071413417658,,0,0.8452425599098206,2.0253262199700677,1631,29.091051085241908,0.9651387589318412,0.5308183321246395,28,1.2275294109572128,355.22,0.8172789478978869,,70,0.9876779317855835,2.0253262199700677,0,10.229845035289015,0.9672923684120178,0.6457747662508929,,0.9433483920290392,483.11,0.450048026,,74,0.924769819,2.02532622,0,10.25318561,0.859075712,0.525982199,,1.83437197,383.93
9,no_context,natural,Why do we age?,,0,5,0,5,0,,,,0.4306228329164526,,,54,0.9409943222999573,2.302585091994046,0,0,1,,,2.0253262199700677,259.27,0.22455883043011027,,73,0.917753279,2.0253262199700677,0,0,1,,,1.6957425335696348,324.18,0.43850904187560075,,0,0.8949492573738098,2.0253262199700677,1540,0,1,,28,2.0253262199700677,345.8,0.6741635978051974,,80,0.9831587076187134,1.6094379118341005,0,0,1,,,2.1639556559820567,548.62,0.339981529,,70,0.946368158,2.163955656,0,0,1,,,2.302585092,406.61
10,direct_information,natural,Why do we age?,The user is a gerontologist.,3a,5,8,13,0,0.6216428875923157,0,4,0.41717800539366595,0.013444828,,72,0.9256312251091003,2.302585091994046,0,36.954616423576105,0.9163862678312487,,,2.302585091994046,262.12,0.21843344083428384,,60,0.9277997612953186,2.0253262199700677,0,13.595309559142951,0.8122505672050245,,,2.0253262199700677,329.15,0.42670308287938435,,0,0.7770755290985107,2.1639556559820567,1562,31.78303339563567,0.9638584469045911,,28,2.0253262199700677,362.86,0.6776429693734369,,81,0.9849829077720642,1.8866967839580786,0,13.081895577056068,0.9534937185900552,,,1.8866967839580782,552.36,0.380420691,,82,0.919479787,1.886696784,0,7.036928476,0.906489036,,,2.163955656,406.99
