prompt_id,condition,domain,question,context,pairwise,context_question_similarity,similarity_variance_flag,q_tokens,ctx_tokens,combined_tokens,token_limit_flag,mean_token_entropy,first_token_entropy,peak_entropy_position,beam_mean_cosine_sim,beam_cluster_entropy,beam_embed_nan_positions,caa_mean_l2,caa_mean_cosine,displacement_cosine_vs_direct,nan_layers_sanitized,semantic_entropy,timing_s
1,no_context,social,Why do humans form social hierarchies?,,0,,,9.0,0.0,9.0,0.0,0.9695509868145848,,100,0.9882906675338745,2.1639556559820567,0,0.0,0.9999999936137881,1.0,,1.4978661361769956,599.94
2,direct_information,social,Why do humans form social hierarchies?,The user is a sociologist.,1a,0.4820123612880707,0.0,9.0,7.0,16.0,0.0,1.0089046262581607,,106,0.9862478375434875,1.973001405593613,0,9.748754459832396,0.9716676345893315,1.0000000127724238,,1.8343719695816239,601.08
3,implicature_information,social,Why do humans form social hierarchies?,The user is sitting in a crowded open-plan office.,1b,0.2775838971138,0.0,9.0,11.0,20.0,0.0,1.094177023202977,,76,0.9867494106292725,2.1639556559820567,0,8.259554255221571,0.9770290510995048,0.6703882749591555,,0.9404479882553265,545.77
4,stochastic_information,social,Why do humans form social hierarchies?,The user is wearing red sneakers.,1c,0.2038233131170272,0.0,9.0,7.0,16.0,0.0,0.8796418223164514,,75,0.9905642867088318,1.973001405593613,0,7.761763937239136,0.9782231343644006,0.7113375685044697,,2.1639556559820567,594.23
5,no_context,social,Why do people gossip?,,0,,,5.0,0.0,5.0,0.0,0.8589076554903341,,89,0.9853140115737915,1.3592367001650065,0,0.0,1.0000000106436866,1.0,,1.2798542254336676,576.09
6,direct_information,social,Why do people gossip?,The user is a social psychologist.,2a,0.4871504306793213,0.0,5.0,7.0,12.0,0.0,0.9002374270883644,,80,0.9839706420898438,1.2275294109572128,0,10.459822695702314,0.9652008882590702,1.0000000085149492,,1.2275294109572128,600.17
7,implicature_information,social,Why do people gossip?,The user is getting their nails done.,2b,0.2873786687850952,0.0,5.0,8.0,13.0,0.0,0.8478288112072582,,90,0.99140864610672,1.0296530137645736,0,10.246528673917055,0.9663544871977398,0.6779018981116158,,1.64341771919318,551.52
8,stochastic_information,social,Why do people gossip?,The user has curly hair.,2c,0.2360110282897949,0.0,5.0,6.0,11.0,0.0,0.8172789478978869,,70,0.9876779317855835,2.0253262199700677,0,10.229845035289015,0.9672923684120178,0.6584256674562182,,0.9433483920290392,542.49
9,no_context,natural,Why do we age?,,0,,,5.0,0.0,5.0,0.0,0.6741635978051974,,80,0.9831587076187134,1.6094379118341005,0,0.0,0.9999999893563134,1.0,,2.1639556559820567,598.23
10,direct_information,natural,Why do we age?,The user is a gerontologist.,3a,0.6216428875923157,0.0,5.0,8.0,13.0,0.0,0.6776429693734369,,81,0.9849829077720642,1.8866967839580786,0,13.081895577056068,0.9534937185900552,0.9999999872275761,,1.8866967839580782,597.89
11,implicature_information,natural,Why do we age?,The user is helping an elderly relative.,3b,0.4126060605049133,0.0,5.0,8.0,13.0,0.0,0.7178039996497934,,97,0.9841331243515015,2.0253262199700677,0,11.471363137875285,0.9602653511932918,0.7795647574322564,,1.8343719695816234,602.78
12,stochastic_information,natural,Why do we age?,The user is carrying an umbrella.,3c,0.2968961596488952,0.0,5.0,7.0,12.0,0.0,0.744785737009209,,90,0.8538910746574402,2.0253262199700677,0,17.68966724191393,0.9173994681664875,0.7165430039167404,,1.8343719695816239,569.06
13,no_context,natural,Why do leaves change colour in autumn?,,0,,,8.0,0.0,8.0,0.0,0.8068390343977342,,85,0.986792266368866,2.302585091994046,0,0.0,1.0,1.0,,2.302585091994046,566.78
14,direct_information,natural,Why do leaves change colour in autumn?,The user is a botanist.,4a,0.4317409694194793,0.0,8.0,8.0,16.0,0.0,0.7508365579941376,,77,0.986515998840332,2.1639556559820567,0,11.782934223434754,0.9636965777192797,0.9999999978712627,,2.302585091994046,591.98
15,implicature_information,natural,Why do leaves change colour in autumn?,The user is walking through a park.,4b,0.2810074985027313,0.0,8.0,8.0,16.0,0.0,0.7881208850604676,,87,0.9869802594184875,1.973001405593613,0,8.786974541310753,0.9772813639470509,0.763265807713781,,1.8343719695816239,554.79
16,stochastic_information,natural,Why do leaves change colour in autumn?,The user is wearing a blue coat.,4c,0.2555951178073883,0.0,8.0,8.0,16.0,0.0,0.8201613911429885,,103,0.985099732875824,1.7480673478460895,0,10.237852460571698,0.9691090094191688,0.7453784027269909,,2.1639556559820567,602.32
17,no_context,economic,Why does the cost of living keep rising?,,0,,,9.0,0.0,9.0,0.0,0.687762700485018,,37,0.9878836870193481,2.1639556559820567,0,0.0,1.0000000085149492,1.0,,2.0253262199700677,449.8
18,direct_information,economic,Why does the cost of living keep rising?,The user is an economist.,5a,0.5217922925949097,0.0,9.0,6.0,15.0,0.0,0.7428472537527229,,67,0.9777360558509827,2.302585091994046,0,13.730556401291064,0.9402788962636676,1.000000006386212,,2.0253262199700677,541.04
19,implicature_information,economic,Why does the cost of living keep rising?,The user is in line at the supermarket.,5b,0.2952487766742706,0.0,9.0,9.0,18.0,0.0,0.6579220946867423,,59,0.9792211651802063,1.4978661361769956,0,9.730172931083612,0.9677772245236805,0.7125992349215916,,2.1639556559820567,492.66
20,stochastic_information,economic,Why does the cost of living keep rising?,The user is drinking coffee.,5c,0.2727008461952209,0.0,9.0,6.0,15.0,0.0,0.8558453289848357,,54,0.9762633442878723,2.302585091994046,0,11.251938996038266,0.9586251548358372,0.844800802213805,,2.0253262199700677,500.42
21,no_context,economic,Why do recessions happen?,,0,,,6.0,0.0,6.0,0.0,0.7640810764195582,,106,0.9848641157150269,1.6957425335696348,0,0.0,1.0000000191586358,1.0,,2.0253262199700677,596.56
