prompt_id,condition,domain,question,context,pairwise,context_question_similarity,similarity_variance_flag,q_tokens,ctx_tokens,combined_tokens,token_limit_flag,mean_token_entropy,first_token_entropy,peak_entropy_position,beam_mean_cosine_sim,beam_cluster_entropy,beam_embed_nan_positions,caa_mean_l2,caa_mean_cosine,displacement_cosine_vs_direct,nan_layers_sanitized,semantic_entropy,timing_s
1,no_context,social,Why do humans form social hierarchies?,,0,,,9.0,0.0,9.0,0.0,0.3849002294639746,,94,0.9226412177085876,1.8866967839580786,0,0.0,0.9999999927751946,1.0,,1.8866967839580782,352.61
2,direct_information,social,Why do humans form social hierarchies?,The user is a sociologist.,1a,0.4820123612880707,0.0,9.0,7.0,16.0,0.0,0.34106931758920356,,93,0.9388927221298218,2.1639556559820567,0,10.239701921741167,0.894258338393587,0.9999999855503892,,2.302585091994046,352.77
3,implicature_information,social,Why do humans form social hierarchies?,The user is sitting in a crowded open-plan office.,1b,0.2775838971138,0.0,9.0,11.0,20.0,0.0,0.40785777241984994,,89,0.908044159412384,2.0253262199700677,0,9.7484904929544,0.8953715707316543,0.6364656695813844,,1.8343719695816234,349.3
4,stochastic_information,social,Why do humans form social hierarchies?,The user is wearing red sneakers.,1c,0.2038233131170272,0.0,9.0,7.0,16.0,0.0,0.3899667327304681,,102,0.9409641027450562,0.9404479882553265,0,8.667633270675486,0.8994710409280026,0.641270120938619,,1.6094379118341005,345.72
5,no_context,social,Why do people gossip?,,0,,,5.0,0.0,5.0,0.0,0.3202251847485701,,98,0.9133328795433044,1.2275294109572128,0,0.0,0.9999999855503892,1.0,,1.6094379118341005,329.24
6,direct_information,social,Why do people gossip?,The user is a social psychologist.,2a,0.4871504306793213,0.0,5.0,7.0,12.0,0.0,0.3400825065672397,,105,0.9415801763534546,1.504788283181191,0,11.443556823513724,0.8626027161424811,1.0000000144496108,,1.0888999749452237,336.62
7,implicature_information,social,Why do people gossip?,The user is getting their nails done.,2b,0.2873786687850952,0.0,5.0,8.0,13.0,0.0,0.2984826485017935,,108,0.933699905872345,1.3592367001650065,0,15.4657256666458,0.7353263081926288,0.5877366788459547,,1.3592367001650065,340.65
8,stochastic_information,social,Why do people gossip?,The user has curly hair.,2c,0.2360110282897949,0.0,5.0,6.0,11.0,0.0,0.3291772334178288,,102,0.9057443141937256,1.504788283181191,0,9.862188440832226,0.8763882770682826,0.6149935198552681,,1.2206072641530175,343.18
9,no_context,natural,Why do we age?,,0,,,5.0,0.0,5.0,0.0,0.22455883043011027,,73,0.917753279209137,2.0253262199700677,0,0.0,1.0000000018062014,1.0,,1.6957425335696348,357.72
10,direct_information,natural,Why do we age?,The user is a gerontologist.,3a,0.6216428875923157,0.0,5.0,8.0,13.0,0.0,0.21843344083428384,,60,0.9277997612953186,2.0253262199700677,0,13.595309559142951,0.8122505672050245,0.9999999981937986,,2.0253262199700677,361.68
11,implicature_information,natural,Why do we age?,The user is helping an elderly relative.,3b,0.4126060605049133,0.0,5.0,8.0,13.0,0.0,0.28846013985077545,,50,0.9030628800392151,2.302585091994046,0,11.750599173433853,0.8464604020118713,0.7295188181328051,,2.1639556559820567,368.58
12,stochastic_information,natural,Why do we age?,The user is carrying an umbrella.,3c,0.2968961596488952,0.0,5.0,7.0,12.0,0.0,0.29495045895377797,,12,0.9068282842636108,1.973001405593613,0,13.62841349614389,0.7840970808809454,0.6759552467953075,,2.1639556559820567,360.85
13,no_context,natural,Why do leaves change colour in autumn?,,0,,,8.0,0.0,8.0,0.0,0.301403968155384,,75,0.925805389881134,1.973001405593613,0,0.0,0.9999999963875973,1.0,,1.504788283181191,347.89
14,direct_information,natural,Why do leaves change colour in autumn?,The user is a botanist.,4a,0.4317409694194793,0.0,8.0,8.0,16.0,0.0,0.2806421961188317,,60,0.9571284055709839,1.973001405593613,0,12.887873044519713,0.8208014928933346,1.0000000018062014,,1.973001405593613,353.47
15,implicature_information,natural,Why do leaves change colour in autumn?,The user is walking through a park.,4b,0.2810074985027313,0.0,8.0,8.0,16.0,0.0,0.2634951977431774,,71,0.946216344833374,2.1639556559820567,0,10.926352202440754,0.8658609119328585,0.7363903630863536,,1.4978661361769956,340.79
16,stochastic_information,natural,Why do leaves change colour in autumn?,The user is wearing a blue coat.,4c,0.2555951178073883,0.0,8.0,8.0,16.0,0.0,0.29760015042622884,,30,0.9345203638076782,2.0253262199700677,0,11.512258784789028,0.8328767075683131,0.685866552771944,,2.302585091994046,337.66
17,no_context,economic,Why does the cost of living keep rising?,,0,,,9.0,0.0,9.0,0.0,0.23321552901466686,,109,0.9321156144142151,1.973001405593613,0,0.0,1.0000000234806177,1.0,,1.973001405593613,342.77
18,direct_information,economic,Why does the cost of living keep rising?,The user is an economist.,5a,0.5217922925949097,0.0,9.0,6.0,15.0,0.0,0.23093725031614304,,87,0.9351598024368286,2.0253262199700677,0,11.908370079416217,0.8506916707212274,1.0000000090310068,,1.973001405593613,363.55
19,implicature_information,economic,Why does the cost of living keep rising?,The user is in line at the supermarket.,5b,0.2952487766742706,0.0,9.0,9.0,18.0,0.0,0.29836854069431623,,85,0.9329701662063599,1.973001405593613,0,11.573947296449631,0.8490725520885352,0.6721733564680273,,2.0253262199700677,387.57
