prompt_id,condition,domain,question,context,pairwise,context_question_similarity,similarity_variance_flag,q_tokens,ctx_tokens,combined_tokens,token_limit_flag,mean_token_entropy,first_token_entropy,peak_entropy_position,beam_mean_cosine_sim,beam_cluster_entropy,beam_embed_nan_positions,caa_mean_l2,caa_mean_cosine,displacement_cosine_vs_direct,nan_layers_sanitized,semantic_entropy,timing_s
1,no_context,social,Why do humans form social hierarchies?,,0,,,9.0,0.0,9.0,0.0,0.5087102187969238,,97,0.9378236532211304,1.7480673478460895,0,0.0,1.0000000126434094,1.0,,2.302585091994046,387.47
2,direct_information,social,Why do humans form social hierarchies?,The user is a sociologist.,1a,0.4820123612880707,0.0,9.0,7.0,16.0,0.0,0.47676930903178727,,85,0.9363929629325867,2.0253262199700677,0,8.819512623051802,0.9188910180872137,1.0000000036124028,,2.0253262199700677,396.09
3,implicature_information,social,Why do humans form social hierarchies?,The user is sitting in a crowded open-plan office.,1b,0.2775838971138,0.0,9.0,11.0,20.0,0.0,0.5484495550240589,,78,0.9329102635383606,2.302585091994046,0,6.689509491125743,0.9288252411466656,0.6285676920052731,,2.302585091994046,399.29
4,stochastic_information,social,Why do humans form social hierarchies?,The user is wearing red sneakers.,1c,0.2038233131170272,0.0,9.0,7.0,16.0,0.0,0.5250061813190265,,88,0.9371994137763977,1.7480673478460895,0,8.329364659434015,0.9051061362931223,0.5792801036979213,,1.973001405593613,391.65
5,no_context,social,Why do people gossip?,,0,,,5.0,0.0,5.0,0.0,0.4805901127418287,,105,0.9548814296722412,1.4978661361769956,0,0.0,1.0000000018062014,1.0,,1.4708084758221114,389.1
6,direct_information,social,Why do people gossip?,The user is a social psychologist.,2a,0.4871504306793213,0.0,5.0,7.0,12.0,0.0,0.520603540749809,,66,0.9648793339729309,1.2798542254336676,0,7.978809197969509,0.912465594031594,1.0000000018062014,,1.6957425335696348,394.44
7,implicature_information,social,Why do people gossip?,The user is getting their nails done.,2b,0.2873786687850952,0.0,5.0,8.0,13.0,0.0,0.48246913888806553,,67,0.9475914835929871,1.2206072641530175,0,7.613329203742923,0.89904882329883,0.5251344415274534,,1.4978661361769956,391.09
8,stochastic_information,social,Why do people gossip?,The user has curly hair.,2c,0.2360110282897949,0.0,5.0,6.0,11.0,0.0,0.45004802638836894,,74,0.9247698187828064,2.0253262199700677,0,10.253185607718699,0.8590757124351732,0.5403463750174551,,1.8343719695816239,380.88
9,no_context,natural,Why do we age?,,0,,,5.0,0.0,5.0,0.0,0.3399815288964217,,70,0.9463681578636169,2.1639556559820567,0,0.0,1.0000000180620137,1.0,,2.302585091994046,396.29
10,direct_information,natural,Why do we age?,The user is a gerontologist.,3a,0.6216428875923157,0.0,5.0,8.0,13.0,0.0,0.38042069122366745,,82,0.9194797873497009,1.8866967839580782,0,7.036928475806207,0.9064890362999656,1.0,,2.1639556559820567,402.42
