prompt_id,question,condition,n_responses,type_token_ratio,mean_response_len,unique_bigram_ratio,mean_pairwise_jaccard,distinct_openings_4w,context_similarity
1,Why do humans form social hierarchies?,no_context,10,0.20397690827453496,155.9,0.5687540348612008,0.2688197567891493,4,
2,Why do humans form social hierarchies?,direct_information,10,0.2265090230242688,160.7,0.6086412022542267,0.2630051852266398,5,0.4820123612880707
3,Why do humans form social hierarchies?,implicature_information,10,0.21758957654723127,153.5,0.5626229508196722,0.284571819938479,4,0.2775838971138
4,Why do humans form social hierarchies?,stochastic_information,10,0.2457221081451061,146.1,0.638869745003446,0.23808455165263426,6,0.2038233131170272
5,Why do people gossip?,no_context,10,0.22520507084265473,134.1,0.569496619083396,0.26562658377897197,3,
6,Why do people gossip?,direct_information,10,0.2275711159737418,137.1,0.5686994856722998,0.26637843289246776,5,0.4871504306793213
7,Why do people gossip?,implicature_information,10,0.221895664952241,136.1,0.5662472242783123,0.27840404319065076,3,0.2873786687850952
8,Why do people gossip?,stochastic_information,10,0.2804182509505703,105.2,0.6506717850287908,0.19610525075856083,4,0.2360110282897949
9,Why do we age?,no_context,10,0.23568575233022637,150.2,0.603887399463807,0.2520823402566563,6,
10,Why do we age?,direct_information,10,0.23395445134575568,144.9,0.5747046560111189,0.2569561533987422,5,0.6216428875923157
11,Why do we age?,implicature_information,10,0.23855092276144907,146.3,0.5843083275980729,0.24630088498569955,6,0.4126060605049133
12,Why do we age?,stochastic_information,10,0.2712906057945566,113.9,0.633303808680248,0.22967336954837173,7,0.2968961596488952
13,Why do leaves change colour in autumn?,no_context,10,0.19731649565903708,126.7,0.5178997613365155,0.3320822075620045,4,
14,Why do leaves change colour in autumn?,direct_information,10,0.21574903969270168,156.2,0.5895618556701031,0.29537641391178443,3,0.4317409694194793
15,Why do leaves change colour in autumn?,implicature_information,10,0.16643159379407615,141.8,0.5056818181818182,0.36189278180142936,7,0.2810074985027313
16,Why do leaves change colour in autumn?,stochastic_information,10,0.1808659217877095,143.2,0.48452883263009844,0.38584366445769824,7,0.2555951178073883
17,Why does the cost of living keep rising?,no_context,10,0.180386542591267,139.7,0.5039653929343908,0.3162401449472812,5,
18,Why does the cost of living keep rising?,direct_information,10,0.15826419910657308,156.7,0.4611432241490045,0.37209039122233095,6,0.5217922925949097
19,Why does the cost of living keep rising?,implicature_information,10,0.16496815286624203,157.0,0.49615384615384617,0.364677046887843,5,0.2952487766742706
20,Why does the cost of living keep rising?,stochastic_information,10,0.18151815181518152,151.5,0.5196013289036545,0.3202452453605234,4,0.2727008461952209
21,Why do recessions happen?,no_context,10,0.21750489875898105,153.1,0.559500328731098,0.2566668903193343,7,
22,Why do recessions happen?,direct_information,10,0.22571819425444598,146.2,0.5895316804407713,0.2424044290573342,9,0.4727457463741302
23,Why do recessions happen?,implicature_information,10,0.2336996336996337,136.5,0.5734317343173432,0.2695492841288222,6,0.3563880026340484
24,Why do recessions happen?,stochastic_information,10,0.2198852772466539,156.9,0.5625400898011546,0.2648917746537749,4,0.2509971857070923
25,Why do people follow rules?,no_context,10,0.2266839378238342,154.4,0.6075619295958279,0.27410462616808007,3,
26,Why do people follow rules?,direct_information,10,0.2260362694300518,154.4,0.5912646675358539,0.270639857886369,2,0.4624421298503876
27,Why do people follow rules?,implicature_information,10,0.2227047146401985,161.2,0.6229712858926342,0.25678069166036593,2,0.3801981508731842
28,Why do people follow rules?,stochastic_information,10,0.2078332280480101,158.3,0.5778766687857597,0.30152903055231994,2,0.3257571756839752
29,Why do fashions and trends spread?,no_context,10,0.25513819985825653,141.1,0.6616702355460385,0.2369089266987714,3,
30,Why do fashions and trends spread?,direct_information,10,0.22459546925566343,154.5,0.6110749185667752,0.28331972319326204,3,0.479107141494751
31,Why do fashions and trends spread?,implicature_information,10,0.24746450304259635,147.9,0.6895847515316542,0.23808307168956308,3,0.3306499123573303
32,Why do fashions and trends spread?,stochastic_information,10,0.2849663425579656,133.7,0.7106254709871892,0.20400138421105973,4,0.2151981592178344
33,Why do people resist change?,no_context,10,0.19695044472681067,157.4,0.5217391304347826,0.2972784395175491,4,
34,Why do people resist change?,direct_information,10,0.1988071570576541,150.9,0.514342895263509,0.2881618154233253,4,0.4084780514240265
35,Why do people resist change?,implicature_information,10,0.19534883720930232,150.5,0.5304347826086957,0.2893884891380746,5,0.3441447913646698
36,Why do people resist change?,stochastic_information,10,0.19020581973030518,140.9,0.5132237312365976,0.2949108449732434,5,0.3187118768692016
37,Why do we dream?,no_context,10,0.21671018276762402,153.2,0.5551905387647832,0.2852816101973473,8,
38,Why do we dream?,direct_information,10,0.2056878306878307,151.2,0.5505992010652463,0.2764084830110253,7,0.523483157157898
39,Why do we dream?,implicature_information,10,0.2594995366079703,107.9,0.5902712815715622,0.27035331660733103,4,0.3591670989990234
40,Why do we dream?,stochastic_information,10,0.23426791277258566,160.5,0.6169278996865204,0.2608722717094253,5,0.2174999862909317
41,Why do we feel pain?,no_context,10,0.22563417890520696,149.8,0.5759408602150538,0.2518893377692313,6,
42,Why do we feel pain?,direct_information,10,0.25680159256801594,150.7,0.6619906479625919,0.2193241535477291,7,0.3979824185371399
43,Why do we feel pain?,implicature_information,10,0.24609375,128.0,0.6614173228346457,0.21678338225535285,7,0.294937789440155
44,Why do we feel pain?,stochastic_information,10,0.24118738404452691,161.7,0.6328562538892346,0.2365674556500541,7,0.2000161111354828
45,Why do animals migrate?,no_context,10,0.1981981981981982,133.2,0.537821482602118,0.28958064857023147,2,
46,Why do animals migrate?,direct_information,10,0.16448326055312956,137.4,0.4838709677419355,0.3481019288041582,5,0.4508191347122192
47,Why do animals migrate?,implicature_information,10,0.20857988165680474,135.2,0.6035767511177347,0.27946662391772065,3,0.3416784703731537
48,Why do animals migrate?,stochastic_information,10,0.20686695278969958,116.5,0.5307359307359307,0.27943693123919106,5,0.3083059787750244
49,Why do housing prices keep going up?,no_context,10,0.18006430868167203,155.5,0.5035598705501618,0.3475688166341051,5,
50,Why do housing prices keep going up?,direct_information,10,0.15965834428383704,152.2,0.4689153439153439,0.37532516968724133,4,0.3213491439819336
51,Why do housing prices keep going up?,implicature_information,10,0.1596153846153846,156.0,0.5006451612903225,0.3642159306558881,6,0.3028429746627807
52,Why do housing prices keep going up?,stochastic_information,10,0.21085271317829457,129.0,0.58984375,0.28004479432581436,6,0.1829404383897781
53,How does taxation work?,no_context,10,0.1804939835338822,157.9,0.5015933715742511,0.3357047548114206,2,
54,How does taxation work?,direct_information,10,0.16180048661800486,164.4,0.4834761321909425,0.3035153410854499,4,0.4652275443077087
55,How does taxation work?,implicature_information,10,0.17562254259501967,152.6,0.48812664907651715,0.3650403225524797,3,0.432982861995697
56,How does taxation work?,stochastic_information,10,0.22768798313422348,142.3,0.6050955414012739,0.23319255583106566,7,0.3003556132316589
57,Why do trade wars happen?,no_context,10,0.20135746606334842,132.6,0.567629179331307,0.2928785158305835,6,
58,Why do trade wars happen?,direct_information,10,0.21703703703703703,135.0,0.5843283582089552,0.30694684304755937,2,0.3099756240844726
59,Why do trade wars happen?,implicature_information,10,0.28285714285714286,70.0,0.6275362318840579,0.28581809598108876,5,0.3562695384025574
60,Why do trade wars happen?,stochastic_information,10,0.25136612021857924,91.5,0.6,0.2619169221262037,5,0.2133278250694275
