prompt_id,question_id,condition,domain,pairwise,question,context,prompt_token_len,n_nan_layers,timing_s
1,1,no_context,social,0,Why do humans form social hierarchies?,,38,1,0.3715444
2,1,direct_information,social,1a,Why do humans form social hierarchies?,The user is a sociologist.,45,1,0.1486054
3,1,implicature_information,social,1b,Why do humans form social hierarchies?,The user is sitting in a crowded open-plan office.,49,1,0.1465179
4,1,stochastic_information,social,1c,Why do humans form social hierarchies?,The user is wearing red sneakers.,45,1,0.1481125
5,2,no_context,social,0,Why do people gossip?,,34,1,0.1423208
6,2,direct_information,social,2a,Why do people gossip?,The user is a social psychologist.,41,1,0.1230801
7,2,implicature_information,social,2b,Why do people gossip?,The user is getting their nails done.,42,1,0.1261545
8,2,stochastic_information,social,2c,Why do people gossip?,The user has curly hair.,40,1,0.1229992
9,3,no_context,natural,0,Why do we age?,,34,1,0.1246625
10,3,direct_information,natural,3a,Why do we age?,The user is a gerontologist.,42,1,0.1253316
11,3,implicature_information,natural,3b,Why do we age?,The user is helping an elderly relative.,42,1,0.1255966
12,3,stochastic_information,natural,3c,Why do we age?,The user is carrying an umbrella.,41,1,0.1225502
13,4,no_context,natural,0,Why do leaves change colour in autumn?,,37,1,0.123483
14,4,direct_information,natural,4a,Why do leaves change colour in autumn?,The user is a botanist.,45,1,0.1236102
15,4,implicature_information,natural,4b,Why do leaves change colour in autumn?,The user is walking through a park.,45,1,0.1244331
16,4,stochastic_information,natural,4c,Why do leaves change colour in autumn?,The user is wearing a blue coat.,45,1,0.1223619
17,5,no_context,economic,0,Why does the cost of living keep rising?,,38,1,0.1247959
18,5,direct_information,economic,5a,Why does the cost of living keep rising?,The user is an economist.,44,1,0.1279558
19,5,implicature_information,economic,5b,Why does the cost of living keep rising?,The user is in line at the supermarket.,47,1,0.1278347
20,5,stochastic_information,economic,5c,Why does the cost of living keep rising?,The user is drinking coffee.,44,1,0.1372676
21,6,no_context,economic,0,Why do recessions happen?,,35,1,0.1360885
22,6,direct_information,economic,6a,Why do recessions happen?,The user is a central bank analyst.,43,1,0.125309
23,6,implicature_information,economic,6b,Why do recessions happen?,The user is reviewing a company quarterly report.,44,1,0.1281799
24,6,stochastic_information,economic,6c,Why do recessions happen?,The user is listening to music.,42,1,0.1256581
25,7,no_context,social,0,Why do people follow rules?,,35,1,0.1271159
26,7,direct_information,social,7a,Why do people follow rules?,The user is a criminologist.,43,1,0.1253354
27,7,implicature_information,social,7b,Why do people follow rules?,The user is waiting at a pedestrian crossing.,44,1,0.1267633
28,7,stochastic_information,social,7c,Why do people follow rules?,The user is wearing a yellow jacket.,43,1,0.1257943
29,8,no_context,social,0,Why do fashions and trends spread?,,38,1,0.1274391
30,8,direct_information,social,8a,Why do fashions and trends spread?,The user is a marketing researcher.,45,1,0.1250334
31,8,implicature_information,social,8b,Why do fashions and trends spread?,The user is looking at a magazine.,46,1,0.1257854
32,8,stochastic_information,social,8c,Why do fashions and trends spread?,The user has a potted plant on their desk.,49,1,0.1277047
33,9,no_context,social,0,Why do people resist change?,,35,1,0.1277236
34,9,direct_information,social,9a,Why do people resist change?,The user is a single parent.,42,1,0.1238691
35,9,implicature_information,social,9b,Why do people resist change?,The user is attending a meeting.,42,1,0.1282795
36,9,stochastic_information,social,9c,Why do people resist change?,The kitchen light is on.,41,1,0.1467648
37,10,no_context,natural,0,Why do we dream?,,34,1,0.1417352
38,10,direct_information,natural,10a,Why do we dream?,The user is a sleep researcher.,41,1,0.1354396
39,10,implicature_information,natural,10b,Why do we dream?,The user keeps a notebook by their bed.,43,1,0.1245021
40,10,stochastic_information,natural,10c,Why do we dream?,The user is wearing socks.,40,1,0.1231338
41,11,no_context,natural,0,Why do we feel pain?,,35,1,0.1264682
42,11,direct_information,natural,11a,Why do we feel pain?,The user is a neurologist.,43,1,0.1273457
43,11,implicature_information,natural,11b,Why do we feel pain?,The user holding an ice pack.,42,1,0.131266
44,11,stochastic_information,natural,11c,Why do we feel pain?,The user is eating lunch.,41,1,0.127133
45,12,no_context,natural,0,Why do animals migrate?,,34,1,0.1274078
46,12,direct_information,natural,12a,Why do animals migrate?,The user is an ornithologist.,42,1,0.1239097
47,12,implicature_information,natural,12b,Why do animals migrate?,The user notices the forest is oddly quiet.,43,1,0.1256926
48,12,stochastic_information,natural,12c,Why do animals migrate?,It is early morning.,39,1,0.1246033
49,13,no_context,economic,0,Why do housing prices keep going up?,,37,1,0.1251769
50,13,direct_information,economic,13a,Why do housing prices keep going up?,The user is a tennant.,45,1,0.1248918
51,13,implicature_information,economic,13b,Why do housing prices keep going up?,The user is sees a notice on their door.,47,1,0.1314974
52,13,stochastic_information,economic,13c,Why do housing prices keep going up?,The user is drinking tea.,43,1,0.1270408
53,14,no_context,economic,0,How does taxation work?,,34,1,0.14111
54,14,direct_information,economic,14a,How does taxation work?,The user is a small business owner.,42,1,0.1290192
55,14,implicature_information,economic,14b,How does taxation work?,The user is going over a handwritten list of numbers.,45,1,0.1251509
56,14,stochastic_information,economic,14c,How does taxation work?,The door to the room is open.,42,1,0.1244313
57,15,no_context,economic,0,Why do trade wars happen?,,35,1,0.1277762
58,15,direct_information,economic,15a,Why do trade wars happen?,The user is a factory worker.,42,1,0.1243563
59,15,implicature_information,economic,15b,Why do trade wars happen?,The user's workplace has posted a notice about restructuring.,46,1,0.127077
60,15,stochastic_information,economic,15c,Why do trade wars happen?,The ceiling fan is rotating slowly.,42,1,0.1241556
