prompt_id,condition,domain,question,context,pairwise,context_question_similarity,similarity_variance_flag,q_tokens,ctx_tokens,combined_tokens,token_limit_flag,mean_token_entropy,first_token_entropy,peak_entropy_position,beam_mean_cosine_sim,beam_cluster_entropy,beam_embed_nan_positions,caa_mean_l2,caa_mean_cosine,displacement_cosine_vs_direct,nan_layers_sanitized,semantic_entropy,timing_s
1,no_context,social,Why do humans form social hierarchies?,,0,,,9.0,0.0,9.0,0.0,0.5306612589955331,,66,0.9198248982429504,2.1639556559820567,0,0.0,1.0000000096136523,1.0,,1.4978661361769956,250.85
2,direct_information,social,Why do humans form social hierarchies?,The user is a sociologist.,1a,0.4820123612880707,0.0,9.0,7.0,16.0,0.0,0.5025667918523153,,62,0.9557600021362305,2.302585091994046,0,32.30271467470354,0.9275158605267925,0.9999999923090781,,1.973001405593613,260.76
3,implicature_information,social,Why do humans form social hierarchies?,The user is sitting in a crowded open-plan office.,1b,0.2775838971138,0.0,9.0,11.0,20.0,0.0,0.48057470346348624,,80,0.9421601891517639,2.0253262199700677,0,31.37238407904102,0.9277731430146002,0.710705909036821,,1.4978661361769956,252.35
4,stochastic_information,social,Why do humans form social hierarchies?,The user is wearing red sneakers.,1c,0.2038233131170272,0.0,9.0,7.0,16.0,0.0,0.48124328735151467,,71,0.9289084672927856,2.302585091994046,0,36.405769163562404,0.9157494806474255,0.6947591016369481,,2.1639556559820567,241.65
5,no_context,social,Why do people gossip?,,0,,,5.0,0.0,5.0,0.0,0.47584839356674175,,79,0.9506223797798157,1.7480673478460895,0,0.0,0.9999999942318085,1.0,,1.7480673478460895,227.35
6,direct_information,social,Why do people gossip?,The user is a social psychologist.,2a,0.4871504306793213,0.0,5.0,7.0,12.0,0.0,0.4139556401190675,,108,0.9423325657844543,1.2275294109572128,0,38.62903836465651,0.912668074330976,1.0000000096136523,,1.6957425335696348,234.06
7,implicature_information,social,Why do people gossip?,The user is getting their nails done.,2b,0.2873786687850952,0.0,5.0,8.0,13.0,0.0,0.4462176094952196,,85,0.963665246963501,1.4978661361769956,0,43.9049319759492,0.8928281741757547,0.6455672267944582,,2.1639556559820567,231.89
8,stochastic_information,social,Why do people gossip?,The user has curly hair.,2c,0.2360110282897949,0.0,5.0,6.0,11.0,0.0,0.5066859460181095,,103,0.9250771403312683,1.4978661361769956,0,37.18614526525621,0.9161149628700749,0.622021040608806,,1.7480673479460895,234.32
9,no_context,natural,Why do we age?,,0,,,5.0,0.0,5.0,0.0,0.4306228329164526,,54,0.9409943222999573,2.302585091994046,0,0.0,0.9999999942318085,1.0,,2.0253262199700677,241.44
10,direct_information,natural,Why do we age?,The user is a gerontologist.,3a,0.6216428875923157,0.0,5.0,8.0,13.0,0.0,0.41717800539366595,,72,0.9256312251091003,2.302585091994046,0,36.954616423576105,0.9163862678312487,0.9999999942318085,,2.302585091994046,240.91
11,implicature_information,natural,Why do we age?,The user is helping an elderly relative.,3b,0.4126060605049133,0.0,5.0,8.0,13.0,0.0,0.4068343843370676,,77,0.9201256632804871,2.302585091994046,0,33.972298410631,0.9196074566533489,0.7404643912469188,,2.302585091994046,254.61
12,stochastic_information,natural,Why do we age?,The user is carrying an umbrella.,3c,0.2968961596488952,0.0,5.0,7.0,12.0,0.0,0.49625571951773456,,82,0.924830436706543,2.1639556559820567,0,41.947843513181134,0.8991294599348499,0.6213138190007979,,2.302585091994046,227.01
13,no_context,natural,Why do leaves change colour in autumn?,,0,,,8.0,0.0,8.0,0.0,0.379357785095451,,95,0.9426716566085815,1.8343719695816239,0,0.0,0.9999999865408866,1.0,,2.1639556559820567,228.43
14,direct_information,natural,Why do leaves change colour in autumn?,The user is a botanist.,4a,0.4317409694194793,0.0,8.0,8.0,16.0,0.0,0.41846974769811585,,77,0.9350989460945129,2.1639556559820567,0,35.948789262002514,0.9168365559270305,1.0000000153818438,,2.302585091994046,253.89
15,implicature_information,natural,Why do leaves change colour in autumn?,The user is walking through a park.,4b,0.2810074985027313,0.0,8.0,8.0,16.0,0.0,0.3645508839656909,,85,0.9369170069694519,2.1639556559820567,0,35.69340106364219,0.9199987553781078,0.8223233184506816,,2.302585091994046,258.97
16,stochastic_information,natural,Why do leaves change colour in autumn?,The user is wearing a blue coat.,4c,0.2555951178073883,0.0,8.0,8.0,16.0,0.0,0.3917128169403615,,81,0.8822788000106812,2.1639556559820567,0,40.21625359019926,0.900559663772583,0.7641959690278576,,2.302585091994046,236.62
17,no_context,economic,Why does the cost of living keep rising?,,0,,,9.0,0.0,9.0,0.0,0.33011765943587124,,88,0.9339037537574768,1.8343719695816239,0,0.0,1.000000003845461,1.0,,1.973001405593613,253.99
18,direct_information,economic,Why does the cost of living keep rising?,The user is an economist.,5a,0.5217922925949097,0.0,9.0,6.0,15.0,0.0,0.3276546350614778,,100,0.9100121259689331,2.302585091994046,0,35.74368744319485,0.9219822998969786,1.0000000057681915,,1.973001405593613,256.23
19,implicature_information,economic,Why does the cost of living keep rising?,The user is in line at the supermarket.,5b,0.2952487766742706,0.0,9.0,9.0,18.0,0.0,0.3681685351074761,,89,0.933349609375,2.302585091994046,0,34.79884462779568,0.9219910137114986,0.7886384052615012,,1.7480673478460895,246.75
20,stochastic_information,economic,Why does the cost of living keep rising?,The user is drinking coffee.,5c,0.2727008461952209,0.0,9.0,6.0,15.0,0.0,0.42583352022166376,,83,0.9308305382728577,2.1639556559820567,0,38.75824616416808,0.9097920040930471,0.7326400626090265,,2.1639556559820567,236.37
21,no_context,economic,Why do recessions happen?,,0,,,6.0,0.0,6.0,0.0,0.48158239834439537,,71,0.9598819017410278,2.302585091994046,0,0.0,0.999999996154539,1.0,,1.4978661361769956,252.0
