Num,Question,Context,Condition,Score 1,Score 2,Score 3,Score 4,Score 5,Score 7,Score 8,Score 9,SUM,AV,RND,STDEV,MODE,MEDIAN,RELIABILITY,LLAMA,GEMMA,TOK_CTX,SEM
2,Why do humans form social hierarchies?,The user is a sociologist.,direct_information,1,1,1,4,1,1,1,1,11,4.63,5,0,5,5,2,1,2,7,0.482012361
3,Why do humans form social hierarchies?,The user is sitting in a crowded open-plan office.,implicature_information,2,5,2,3,5,3,1,3,24,3,3,0.97,3,3,1,3,5,11,0.277583897
4,Why do humans form social hierarchies?,The user is wearing red sneakers.,stochastic_information,5,5,5,3,4,5,5,5,37,1.38,2,0.92,2,2,1,4,3,7,0.203823313
6,Why do people gossip?,The user is a social psychologist.,direct_information,1,1,1,4,1,1,1,1,11,4.63,2,1.33,1,1,2,4,2,7,0.487150431
7,Why do people gossip?,The user is getting their nails done.,implicature_information,2,3,1,2,4,4,5,3,24,3,2,1.54,1,1,2,4,5,8,0.287378669
8,Why do people gossip?,The user has curly hair.,stochastic_information,5,5,5,1,4,4,5,5,34,1.75,2,1.36,1,1,2,4,5,6,0.236011028
10,Why do we age?,The user is a gerontologist.,direct_information,1,1,1,4,3,4,1,1,16,4,4,1.05,5,4,2,2,5,8,0.621642888
11,Why do we age?,The user is helping an elderly relative.,implicature_information,3,2,1,3,2,2,3,2,18,3.75,4,1.76,5,5,2,2,2,8,0.412606061
12,Why do we age?,The user is carrying an umbrella.,stochastic_information,5,5,5,1,5,5,5,5,36,1.5,3,1.41,4,3,2,3,2,7,0.29689616
14,Why do leaves change colour in autumn?,The user is a botanist.,direct_information,1,1,1,2,1,3,1,1,11,4.63,2,1.12,2,2,1,4,5,8,0.431740969
15,Why do leaves change colour in autumn?,The user is walking through a park.,implicature_information,1,3,1,2,2,1,1,3,14,4.25,4,1.5,5,5,2,2,3,8,0.281007499
16,Why do leaves change colour in autumn?,The user is wearing a blue coat.,stochastic_information,4,5,5,1,4,4,5,5,33,1.88,3,1.12,3,3,1,3,2,8,0.255595118
18,Why does the cost of living keep rising?,The user is an economist.,direct_information,1,1,1,3,1,1,5,1,14,4.25,3,0.87,3,3,1,3,5,6,0.521792293
19,Why does the cost of living keep rising?,The user is in line at the supermarket.,implicature_information,4,2,3,4,2,2,4,2,23,3.13,2,1.59,1,2,2,4,2,9,0.295248777
20,Why does the cost of living keep rising?,The user is drinking coffee.,stochastic_information,4,3,5,5,3,3,1,4,28,2.5,4,0.83,3,4,2,2,2,6,0.272700846
22,Why do recessions happen?,The user is a central bank analyst.,direct_information,1,1,1,2,1,1,1,1,9,4.88,2,1.36,1,1,2,4,5,8,0.472745746
