prompt_id,question_id,condition,domain,pairwise,question,context,prompt_token_len,n_nan_layers,timing_s
1,1,no_context,social,0,Why do humans form social hierarchies?,,16,0,0.3513876
2,1,direct_information,social,1a,Why do humans form social hierarchies?,The user is a sociologist.,23,0,0.1275563
3,1,implicature_information,social,1b,Why do humans form social hierarchies?,The user is sitting in a crowded open-plan office.,28,0,0.1285161
4,1,stochastic_information,social,1c,Why do humans form social hierarchies?,The user is wearing red sneakers.,23,0,0.1250989
5,2,no_context,social,0,Why do people gossip?,,13,0,0.1227344
6,2,direct_information,social,2a,Why do people gossip?,The user is a social psychologist.,20,0,0.1232448
7,2,implicature_information,social,2b,Why do people gossip?,The user is getting their nails done.,21,0,0.1225106
8,2,stochastic_information,social,2c,Why do people gossip?,The user has curly hair.,19,0,0.1223518
9,3,no_context,natural,0,Why do we age?,,13,0,0.1231147
10,3,direct_information,natural,3a,Why do we age?,The user is a gerontologist.,21,0,0.124935
11,3,implicature_information,natural,3b,Why do we age?,The user is helping an elderly relative.,21,0,0.1226991
12,3,stochastic_information,natural,3c,Why do we age?,The user is carrying an umbrella.,20,0,0.124221
13,4,no_context,natural,0,Why do leaves change colour in autumn?,,16,0,0.1287103
14,4,direct_information,natural,4a,Why do leaves change colour in autumn?,The user is a botanist.,23,0,0.1260942
15,4,implicature_information,natural,4b,Why do leaves change colour in autumn?,The user is walking through a park.,24,0,0.1188072
16,4,stochastic_information,natural,4c,Why do leaves change colour in autumn?,The user is wearing a blue coat.,24,0,0.1199102
17,5,no_context,economic,0,Why does the cost of living keep rising?,,17,0,0.1151894
18,5,direct_information,economic,5a,Why does the cost of living keep rising?,The user is an economist.,23,0,0.120283
19,5,implicature_information,economic,5b,Why does the cost of living keep rising?,The user is in line at the supermarket.,26,0,0.1171937
20,5,stochastic_information,economic,5c,Why does the cost of living keep rising?,The user is drinking coffee.,23,0,0.1189975
21,6,no_context,economic,0,Why do recessions happen?,,14,0,0.1147899
22,6,direct_information,economic,6a,Why do recessions happen?,The user is a central bank analyst.,22,0,0.1231124
23,6,implicature_information,economic,6b,Why do recessions happen?,The user is reviewing a company quarterly report.,23,0,0.1323062
24,6,stochastic_information,economic,6c,Why do recessions happen?,The user is listening to music.,21,0,0.1264777
25,7,no_context,social,0,Why do people follow rules?,,14,0,0.1145493
26,7,direct_information,social,7a,Why do people follow rules?,The user is a criminologist.,21,0,0.117516
27,7,implicature_information,social,7b,Why do people follow rules?,The user is waiting at a pedestrian crossing.,23,0,0.1201033
28,7,stochastic_information,social,7c,Why do people follow rules?,The user is wearing a yellow jacket.,22,0,0.1203106
29,8,no_context,social,0,Why do fashions and trends spread?,,15,0,0.1225353
30,8,direct_information,social,8a,Why do fashions and trends spread?,The user is a marketing researcher.,22,0,0.123814
31,8,implicature_information,social,8b,Why do fashions and trends spread?,The user is looking at a magazine.,23,0,0.1245444
32,8,stochastic_information,social,8c,Why do fashions and trends spread?,The user has a potted plant on their desk.,26,0,0.1291226
33,9,no_context,social,0,Why do people resist change?,,14,0,0.1217666
34,9,direct_information,social,9a,Why do people resist change?,The user is a single parent.,21,0,0.1185411
35,9,implicature_information,social,9b,Why do people resist change?,The user is attending a meeting.,21,0,0.1194516
36,9,stochastic_information,social,9c,Why do people resist change?,The kitchen light is on.,20,0,0.1190331
37,10,no_context,natural,0,Why do we dream?,,13,0,0.1132821
38,10,direct_information,natural,10a,Why do we dream?,The user is a sleep researcher.,20,0,0.117411
39,10,implicature_information,natural,10b,Why do we dream?,The user keeps a notebook by their bed.,22,0,0.1171213
40,10,stochastic_information,natural,10c,Why do we dream?,The user is wearing socks.,19,0,0.121542
41,11,no_context,natural,0,Why do we feel pain?,,14,0,0.1149299
42,11,direct_information,natural,11a,Why do we feel pain?,The user is a neurologist.,22,0,0.1270899
43,11,implicature_information,natural,11b,Why do we feel pain?,The user holding an ice pack.,21,0,0.117507
44,11,stochastic_information,natural,11c,Why do we feel pain?,The user is eating lunch.,20,0,0.1163769
45,12,no_context,natural,0,Why do animals migrate?,,13,0,0.1129886
46,12,direct_information,natural,12a,Why do animals migrate?,The user is an ornithologist.,21,0,0.1171401
47,12,implicature_information,natural,12b,Why do animals migrate?,The user notices the forest is oddly quiet.,22,0,0.1158007
48,12,stochastic_information,natural,12c,Why do animals migrate?,It is early morning.,18,0,0.1332503
49,13,no_context,economic,0,Why do housing prices keep going up?,,16,0,0.1442301
50,13,direct_information,economic,13a,Why do housing prices keep going up?,The user is a tennant.,23,0,0.1549344
51,13,implicature_information,economic,13b,Why do housing prices keep going up?,The user is sees a notice on their door.,26,0,0.1246541
52,13,stochastic_information,economic,13c,Why do housing prices keep going up?,The user is drinking tea.,22,0,0.1237169
53,14,no_context,economic,0,How does taxation work?,,13,0,0.1243174
54,14,direct_information,economic,14a,How does taxation work?,The user is a small business owner.,21,0,0.1235428
55,14,implicature_information,economic,14b,How does taxation work?,The user is going over a handwritten list of numbers.,24,0,0.1255299
56,14,stochastic_information,economic,14c,How does taxation work?,The door to the room is open.,21,0,0.1285383
57,15,no_context,economic,0,Why do trade wars happen?,,14,0,0.1298458
58,15,direct_information,economic,15a,Why do trade wars happen?,The user is a factory worker.,21,0,0.1527114
59,15,implicature_information,economic,15b,Why do trade wars happen?,The user's workplace has posted a notice about restructuring.,26,0,0.1342535
60,15,stochastic_information,economic,15c,Why do trade wars happen?,The ceiling fan is rotating slowly.,21,0,0.1243242
