prompt_id,question_id,condition,domain,pairwise,question,context,prompt_token_len,n_nan_layers,timing_s
1,1,no_context,social,0,Why do humans form social hierarchies?,,45,0,0.3934698
2,1,direct_information,social,1a,Why do humans form social hierarchies?,The user is a sociologist.,52,0,0.1520344
3,1,implicature_information,social,1b,Why do humans form social hierarchies?,The user is sitting in a crowded open-plan office.,56,0,0.1519458
4,1,stochastic_information,social,1c,Why do humans form social hierarchies?,The user is wearing red sneakers.,52,0,0.1493094
5,2,no_context,social,0,Why do people gossip?,,41,0,0.1487309
6,2,direct_information,social,2a,Why do people gossip?,The user is a social psychologist.,48,0,0.1484557
7,2,implicature_information,social,2b,Why do people gossip?,The user is getting their nails done.,49,0,0.1497883
8,2,stochastic_information,social,2c,Why do people gossip?,The user has curly hair.,47,0,0.1530154
9,3,no_context,natural,0,Why do we age?,,41,0,0.1477801
10,3,direct_information,natural,3a,Why do we age?,The user is a gerontologist.,49,0,0.1533433
11,3,implicature_information,natural,3b,Why do we age?,The user is helping an elderly relative.,49,0,0.1483685
12,3,stochastic_information,natural,3c,Why do we age?,The user is carrying an umbrella.,48,0,0.1504387
13,4,no_context,natural,0,Why do leaves change colour in autumn?,,44,0,0.1502899
14,4,direct_information,natural,4a,Why do leaves change colour in autumn?,The user is a botanist.,52,0,0.1741704
15,4,implicature_information,natural,4b,Why do leaves change colour in autumn?,The user is walking through a park.,52,0,0.1487689
16,4,stochastic_information,natural,4c,Why do leaves change colour in autumn?,The user is wearing a blue coat.,52,0,0.150626
17,5,no_context,economic,0,Why does the cost of living keep rising?,,45,0,0.1480175
18,5,direct_information,economic,5a,Why does the cost of living keep rising?,The user is an economist.,51,0,0.1497215
19,5,implicature_information,economic,5b,Why does the cost of living keep rising?,The user is in line at the supermarket.,54,0,0.1519531
20,5,stochastic_information,economic,5c,Why does the cost of living keep rising?,The user is drinking coffee.,51,0,0.1578021
21,6,no_context,economic,0,Why do recessions happen?,,42,0,0.1622447
22,6,direct_information,economic,6a,Why do recessions happen?,The user is a central bank analyst.,50,0,0.1506657
23,6,implicature_information,economic,6b,Why do recessions happen?,The user is reviewing a company quarterly report.,51,0,0.1550263
24,6,stochastic_information,economic,6c,Why do recessions happen?,The user is listening to music.,49,0,0.1541013
25,7,no_context,social,0,Why do people follow rules?,,42,0,0.1465708
26,7,direct_information,social,7a,Why do people follow rules?,The user is a criminologist.,50,0,0.1516522
27,7,implicature_information,social,7b,Why do people follow rules?,The user is waiting at a pedestrian crossing.,51,0,0.1491786
28,7,stochastic_information,social,7c,Why do people follow rules?,The user is wearing a yellow jacket.,50,0,0.1484945
29,8,no_context,social,0,Why do fashions and trends spread?,,45,0,0.1481282
30,8,direct_information,social,8a,Why do fashions and trends spread?,The user is a marketing researcher.,52,0,0.1494954
31,8,implicature_information,social,8b,Why do fashions and trends spread?,The user is looking at a magazine.,53,0,0.1559528
32,8,stochastic_information,social,8c,Why do fashions and trends spread?,The user has a potted plant on their desk.,56,0,0.1539041
33,9,no_context,social,0,Why do people resist change?,,42,0,0.1489954
34,9,direct_information,social,9a,Why do people resist change?,The user is a single parent.,49,0,0.1501982
35,9,implicature_information,social,9b,Why do people resist change?,The user is attending a meeting.,49,0,0.132031
36,9,stochastic_information,social,9c,Why do people resist change?,The kitchen light is on.,48,0,0.1346004
37,10,no_context,natural,0,Why do we dream?,,41,0,0.1327811
38,10,direct_information,natural,10a,Why do we dream?,The user is a sleep researcher.,48,0,0.1341451
39,10,implicature_information,natural,10b,Why do we dream?,The user keeps a notebook by their bed.,50,0,0.1371798
40,10,stochastic_information,natural,10c,Why do we dream?,The user is wearing socks.,47,0,0.1324824
41,11,no_context,natural,0,Why do we feel pain?,,42,0,0.131423
42,11,direct_information,natural,11a,Why do we feel pain?,The user is a neurologist.,50,0,0.1364432
43,11,implicature_information,natural,11b,Why do we feel pain?,The user holding an ice pack.,49,0,0.1380905
44,11,stochastic_information,natural,11c,Why do we feel pain?,The user is eating lunch.,48,0,0.1359434
45,12,no_context,natural,0,Why do animals migrate?,,41,0,0.1342455
46,12,direct_information,natural,12a,Why do animals migrate?,The user is an ornithologist.,49,0,0.1358689
47,12,implicature_information,natural,12b,Why do animals migrate?,The user notices the forest is oddly quiet.,50,0,0.1334992
48,12,stochastic_information,natural,12c,Why do animals migrate?,It is early morning.,46,0,0.1452419
49,13,no_context,economic,0,Why do housing prices keep going up?,,44,0,0.1505834
50,13,direct_information,economic,13a,Why do housing prices keep going up?,The user is a tennant.,52,0,0.1739192
51,13,implicature_information,economic,13b,Why do housing prices keep going up?,The user is sees a notice on their door.,54,0,0.1534112
52,13,stochastic_information,economic,13c,Why do housing prices keep going up?,The user is drinking tea.,50,0,0.14937
53,14,no_context,economic,0,How does taxation work?,,41,0,0.1698723
54,14,direct_information,economic,14a,How does taxation work?,The user is a small business owner.,49,0,0.1530102
55,14,implicature_information,economic,14b,How does taxation work?,The user is going over a handwritten list of numbers.,52,0,0.1494831
56,14,stochastic_information,economic,14c,How does taxation work?,The door to the room is open.,49,0,0.1494058
57,15,no_context,economic,0,Why do trade wars happen?,,42,0,0.1494926
58,15,direct_information,economic,15a,Why do trade wars happen?,The user is a factory worker.,49,0,0.1519524
59,15,implicature_information,economic,15b,Why do trade wars happen?,The user's workplace has posted a notice about restructuring.,53,0,0.1633914
60,15,stochastic_information,economic,15c,Why do trade wars happen?,The ceiling fan is rotating slowly.,49,0,0.1784402
