model,pooling,layer,standardised,contrast,ci_lo,ci_hi
deepseek,last_token_hs,0,False,0.0,0.0,0.0
deepseek,last_token_hs,0,True,0.0,0.0,0.0
deepseek,last_token_hs,1,False,-4.908442497253418e-05,-0.00016930997371673585,7.933899760246276e-05
deepseek,last_token_hs,1,True,-0.0178817855194211,-0.06625554440543055,0.035394436051137734
deepseek,last_token_hs,2,False,-0.0003985464572906494,-0.0008030138909816742,4.098936915397621e-05
deepseek,last_token_hs,2,True,-0.010747089399956167,-0.04555559093132615,0.03331601331010461
deepseek,last_token_hs,3,False,-0.0009714365005493164,-0.0019027143716812134,2.1159648895257167e-06
deepseek,last_token_hs,3,True,-0.02887439215555787,-0.061349620670080186,0.01760974964126944
deepseek,last_token_hs,4,False,-0.0011174678802490234,-0.0022526070475578307,0.00019058659672737088
deepseek,last_token_hs,4,True,-0.02601170155685395,-0.06577029908075929,0.03249459285289048
deepseek,last_token_hs,5,False,-0.0018300414085388184,-0.003401032835245132,-6.334483623504651e-06
deepseek,last_token_hs,5,True,-0.020032943226397038,-0.06440262002870441,0.03449153369292615
deepseek,last_token_hs,6,False,-0.0023984313011169434,-0.003917190432548523,-0.00034785866737365725
deepseek,last_token_hs,6,True,-0.02554614096879959,-0.06966688688844443,0.03364192843437194
deepseek,last_token_hs,7,False,-0.0026699304580688477,-0.004991015046834945,5.379021167754962e-05
deepseek,last_token_hs,7,True,-0.02389994403347373,-0.07425491586327553,0.03718833867460487
deepseek,last_token_hs,8,False,-0.006234705448150635,-0.010014799982309341,-0.0016917936503887206
deepseek,last_token_hs,8,True,-0.02622426999732852,-0.07480530934408307,0.030820157937705508
deepseek,last_token_hs,9,False,-0.006840109825134277,-0.010768771916627885,-0.002158044278621674
deepseek,last_token_hs,9,True,-0.0350000518374145,-0.07739889351651072,0.01865364434197544
deepseek,last_token_hs,10,False,-0.009347975254058838,-0.014597555249929428,-0.002922321110963823
deepseek,last_token_hs,10,True,-0.053760077338665724,-0.09605013383552433,-0.0017474185675382674
deepseek,last_token_hs,11,False,-0.017123550176620483,-0.023039401322603226,-0.008433555066585543
